LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
723;350150500;Jelenia Góra;Bóbr (16);50 54 01;15 47 20;342
724;350150510;Śnieżka;Łomniczka (16184);50 44 11;15 44 23;1603
725;350160520;Kłodzko;Nysa Kłodzka (12);50 26 13;16 36 51;356.0
726;350170530;Opole;Odra (1);50 37 37;17 58 08;163.0
727;350180540;Racibórz;Odra (1);50 03 40;18 11 27;206
728;350190550;Częstochowa;Warta (18);50 48 43;19 05 30;293.0
729;350190560;KATOWICE-MUCHOWIEC;Brynica (2126);50 14 26;19 01 58;278.0
730;350190566;Kraków-Balice;Rudawa (2136);50 04 40;19 47 42;236.0
731;350200570;KIELCE-SUKÓW;Lubrzanka (21644);50 48 38;20 41 32;260
732;350200575;TARNÓW;Biała (2148);50 01 32;20 56 31;210.0
733;350210585;SANDOMIERZ;Wisła (2);50 41 48;21 42 57;217
734;350220580;RZESZÓW-JASIONKA;Wisłok (226);50 06 39;22 02 32;206.0
735;350230595;Zamość;Łabuńka (242);50 41 54;23 12 20;223.0
736;351150400;Zielona Góra;Odra (1);51 55 48;15 31 29;192
737;351160415;Legnica;Kaczawa (138);51 11 33;16 12 28;123.0
738;351160418;Leszno;Strzyżewicki Rów (14884);51 50 08;16 32 05;91
739;351160424;Wrocław-Strachowice;Odra (1);51 06 12;16 54 00;120
740;351160425;WROCŁAW;Odra (1);51 06 49;16 52 54;120.0
741;351180435;Kalisz;Prosna (184);51 46 52;18 04 51;137.0
742;351180455;Wieluń;Warta (18);51 12 37;18 33 24;199
743;351190465;Łódź-Lublinek;Ner (1832);51 43 06;19 23 14;174.0
744;351190469;Sulejów;Pilica (254);51 21 12;19 51 59;188.0
745;351210488;Kozienice;Wisła (2);51 33 53;21 32 37;123.0
746;351220495;LUBLIN-RADAWIEC;Bystrzyca (246);51 13 00;22 23 35;238.0
747;351230497;Włodawa;Bug (266);51 33 12;23 31 46;177.0
748;352140310;Słubice;Odra (1);52 20 55;14 37 11;53
749;352150300;Gorzów Wlkp.;Warta (18);52 44 28;15 16 38;71
750;352160330;Poznań-Ławica;Warta (18);52 25 00;16 50 05;88.0
751;352180345;Koło-Radoszewice;Noteć (188);52 21 43;18 42 22;109.0
752;352190360;PŁOCK;Wisła (2);52 35 18;19 43 33;106.0
753;352200375;Warszawa;Wisła (2);52 09 46;20 57 40;106.0
754;352220385;SIEDLCE;Liwiec (2668);52 10 52;22 14 41;152.0
755;352230399;TERESPOL;Bug (266);52 04 43;23 37 19;133.0
756;353140200;Świnoujście;Bałtyk (0);53 55 24;14 14 32;4.0
757;353140205;Szczecin;Odra (1);53 23 43;14 37 22;1.0
758;353150210;Resko-Smólsko;Rega (42);53 45 49;15 23 36;52
759;353160213;Barwice;Parsęta (44);53 45 11;16 21 14;133.0
760;353160215;Szczecinek;Gwda (1886);53 43 04;16 44 48;139.0
761;353160230;Piła;Gwda (1886);53 07 50;16 44 50;72
762;353170235;Chojnice;Brda (292);53 42 55;17 31 57;164.0
763;353180250;Toruń;Wisła (2);53 02 31;18 35 44;69.0
764;353180255;Kwidzyn;Liwa (522);53 44 03;18 52 18;
765;353200270;MŁAWA;Wkra (268);53 06 15;20 21 40;147
766;353200272;OLSZTYN;Łyna (584);53 46 07;20 25 17;133
767;353210280;MIKOŁAJKI;Jez. Mikołajskie (26439);53 47 21;21 35 23;127
768;353210285;OSTROŁĘKA;Narew (26);53 03 57;21 32 02;94
769;353230295;BIAŁYSTOK;Biała (26168);53 06 26;23 09 44;148.0
770;354150100;Kołobrzeg-Dźwirzyno;Jez. Resko Przymorskie (43219);54 09 30;15 23 20;4.0
771;354160105;Koszalin;Dzierżęcinka (45614);54 12 16;16 09 19;33
772;354160115;Ustka;Bałtyk (0);54 35 18;16 51 15;3.0
773;354170120;Łeba;Łeba (476);54 45 13;17 32 05;1
774;354170125;Lębork;Łeba (476);54 33 11;17 45 25;39
775;354180135;Hel;Bałtyk (0);54 36 13;18 48 43;1
776;354180155;Gdańsk-Świbno;Wisła (2);54 20 01;18 56 04;7.0
777;354190160;Elbląg-Milejewo;Elbląg (54);54 13 24;19 32 37;189.0
778;354210185;KĘTRZYN;Guber (5848);54 04 02;21 22 00;107.0
779;354220195;SUWAŁKI;Czarna Hańcza (64);54 07 51;22 56 56;184
