vertex_id,x,y,x_astar,y_astar
413,468874.52,574838.02,12056.773371428573,14781.549085714287
414,468796.23,573197.42,12054.7602,14739.36222857143
415,468967.71,574897.87,12059.169685714287,14783.088085714287
416,468733.71,573997.83,12053.152542857144,14759.9442
417,468737.1,573802.29,12053.239714285715,14754.916028571432
418,468856.27,574385.3,12056.304085714288,14769.907714285717
419,468749.77,573593.43,12053.565514285716,14749.545342857145
420,468793.3,573510.6,12054.684857142858,14747.415428571428
421,468780.09,574174.43,12054.345171428573,14764.485342857146
422,468774.83,573050.37,12054.209914285715,14735.580942857145
423,469096.3,575387.76,12062.476285714287,14795.685257142859
424,469233.88,575183.17,12066.014057142858,14790.424371428573
425,468989.39,574993.43,12059.727171428573,14785.545342857145
426,469007.3,575027.45,12060.187714285716,14786.420142857143
427,468926.74,573120.31,12058.116171428572,14737.379400000003
428,468899.96,573680.25,12057.427542857144,14751.777857142859
429,468976.05,573430.39,12059.384142857143,14745.352885714286
430,469164.21,573330.99,12064.222542857144,14742.796885714286
431,469239.52,573303.35,12066.159085714287,14742.086142857144
432,469074.35,574969.8,12061.911857142857,14784.937714285717
433,469290.12,575105.19,12067.46022857143,14788.419171428572
434,469065.68,574962.9,12061.688914285714,14784.760285714288
435,469225.74,574840.71,12065.804742857144,14781.618257142858
436,469703.95,574451.74,12078.101571428573,14771.616171428572
437,469221.53,574558.85,12065.696485714287,14774.370428571428
438,469280.5,574546.24,12067.212857142858,14774.046171428572
439,469162.13,573239.72,12064.169057142859,14740.449942857143
440,469218.87,573326.33,12065.628085714286,14742.677057142857
441,469597.04,575306.66,12075.352457142857,14793.59982857143
442,469410.05,575294.19,12070.544142857143,14793.27917142857
443,469291.85,574542.9,12067.504714285715,14773.960285714287
444,470452.27,573839.67,12097.344085714287,14755.877228571431
445,470538.51,573839.79,12099.561685714287,14755.880314285716
446,470647.2,572912.59,12102.356571428572,14732.03802857143
447,470600.95,572846.62,12101.167285714288,14730.341657142859
448,470419.11,571944.93,12096.4914,14707.155342857146
449,470430.73,571967.76,12096.790200000001,14707.742400000001
450,470154.12,571396.52,12089.677371428572,14693.053371428574
451,470358.73,571294.67,12094.938771428571,14690.434371428573
452,470061.46,571942.96,12087.294685714287,14707.104685714286
453,470116.54,575197.52,12088.71102857143,14790.793371428574
454,470023.23,575344.45,12086.31162857143,14794.57157142857
455,470106.87,575191.47,12088.462371428572,14790.6378
456,470223.4,574985.2,12091.45885714286,14785.333714285714
457,470134.25,573297.13,12089.166428571429,14741.926200000002
458,470495.19,573510.46,12098.447742857144,14747.411828571428
459,470563.9,572976.55,12100.214571428573,14733.682714285716
460,470363.16,572698.27,12095.052685714287,14726.526942857145
461,470468.88,573041.01,12097.771200000001,14735.340257142858
462,470155.44,572701.3,12089.711314285716,14726.60485714286
463,470386.09,574923.85,12095.642314285717,14783.756142857143
464,470650.11,575080.64,12102.431400000001,14787.787885714288
465,470447.3,572000.32,12097.216285714287,14708.579657142856
466,470645.63,575087.54,12102.316200000001,14787.965314285717
467,470448.84,575395.38,12097.255885714287,14795.881200000002
468,470420.77,573142.03,12096.534085714287,14737.937914285716
469,470473.23,573038.16,12097.883057142857,14735.266971428573
470,470425.21,573187.93,12096.648257142859,14739.118200000003
471,470508.6,571938.75,12098.792571428572,14706.99642857143
472,470467.7,572051.08,12097.740857142859,14709.884914285714
473,470546.45,573538.46,12099.765857142858,14748.13182857143
474,470457.39,571867.82,12097.475742857145,14705.172514285714
475,470683.13,571720.28,12103.280485714287,14701.37862857143
476,470699.14,571656.35,12103.692171428573,14699.734714285714
477,470580.89,573682.7,12100.651457142858,14751.840857142857
478,470526.04,571896.48,12099.241028571429,14705.909485714286
479,470814.3,571743.68,12106.65342857143,14701.980342857145
480,470711.53,577350.15,12104.010771428573,14846.146714285716
481,471024.42,577470.9,12112.056514285714,14849.251714285716
482,470874.8,574731.08,12108.209142857144,14778.7992
483,470637.28,572964.99,12102.101485714287,14733.385457142858
484,470684.49,572931.9,12103.315457142859,14732.534571428574
485,470618.46,573669.56,12101.617542857144,14751.502971428574
486,470828.47,573990.25,12107.0178,14759.749285714286
487,470876.16,574001.74,12108.244114285715,14760.044742857144
488,470839.24,575210.33,12107.294742857144,14791.122771428572
489,470833.77,573236.93,12107.154085714286,14740.378200000003
490,470695.82,573482.22,12103.606800000001,14746.685657142858
491,470696.75,573491.95,12103.630714285715,14746.935857142857
492,470760.1,573622.24,12105.259714285714,14750.286171428572
493,470855.6,573450.22,12107.71542857143,14745.8628
494,470704.61,575690.69,12103.832828571429,14803.474885714286
495,470907.85,575748.15,12109.059000000001,14804.95242857143
496,470869.15,568405.64,12108.063857142859,14616.14502857143
497,470969.38,568417.06,12110.641200000002,14616.438685714289
498,471010.57,569645.84,12111.700371428573,14648.035885714286
499,471002.65,569466.48,12111.496714285717,14643.423771428572
500,470713.57,569479.89,12104.06322857143,14643.768600000001
501,470854.32,569438.61,12107.682514285716,14642.707114285715
